date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,nom_commune,code_departement,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-01-21,Vente,260000,61,,BD DE BELLECHASSE,94100,Saint-Maur-des-Fossés,94,5,46.29,,,,,,,,,1,2,Appartement,50,3,,,,,,2.489593,48.793871
2022-01-24,Vente,335450,13,,AV PIERRE SEMARD,94210,Saint-Maur-des-Fossés,94,1,50.11,,,,,,,,,1,2,Appartement,50,2,,,,,,2.513128,48.796186
2022-01-20,Vente en l'état futur d'achèvement,458900,26,,PL JOHN FITZGERALD KENNEDY,94100,Saint-Maur-des-Fossés,94,282,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.486191,48.793031
2022-01-20,Vente en l'état futur d'achèvement,458900,26,,PL JOHN FITZGERALD KENNEDY,94100,Saint-Maur-des-Fossés,94,6,,,,,,,,,,1,2,Appartement,63,3,,,,,,2.486191,48.793031
2022-01-20,Vente en l'état futur d'achèvement,458900,26,,PL JOHN FITZGERALD KENNEDY,94100,Saint-Maur-des-Fossés,94,132,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.486191,48.793031
2022-01-24,Vente,415000,90,,AV VICTOR HUGO,94100,Saint-Maur-des-Fossés,94,55,,9,75.15,,,,,,,2,2,Appartement,75,4,,,,,,2.488945,48.802842
2022-01-24,Vente,415000,90,,AV VICTOR HUGO,94100,Saint-Maur-des-Fossés,94,63,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.488945,48.802842
2022-01-24,Vente,415000,90,,AV VICTOR HUGO,94100,Saint-Maur-des-Fossés,94,55,,9,75.15,,,,,,,2,3,Dépendance,,0,,,,,,2.488945,48.802842
2022-01-13,Vente,377100,2,B,RUE DE NEUVILLE,94210,Saint-Maur-des-Fossés,94,13,58.68,2,,8,,,,,,3,3,Dépendance,,0,,,,,,2.508578,48.803738
2022-01-13,Vente,377100,2,B,RUE DE NEUVILLE,94210,Saint-Maur-des-Fossés,94,13,58.68,2,,8,,,,,,3,2,Appartement,56,3,,,,,,2.508578,48.803738
2022-01-21,Vente,640000,72,,AV DIDEROT,94100,Saint-Maur-des-Fossés,94,10,78.94,11,,,,,,,,2,2,Appartement,76,3,,,,,,2.48779,48.802265
2022-01-21,Vente,640000,72,,AV DIDEROT,94100,Saint-Maur-des-Fossés,94,1,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.48779,48.802265
