id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2022-1591537,2022-10-21,1,Vente,397500.00,13,,RUE DE L ABBAYE,0011,94100,94068,Saint-Maur-des-Fossés,94,,,940680000F0015,,,13,44.84,14,22.25,,,,,,,2,2,Appartement,73.00,3,,,,,,2.4735690,48.8128780,0000F
2022-1591537,2022-10-21,1,Vente,397500.00,8,,RUE DU PETIT BEAUBOURG,7182,94100,94068,Saint-Maur-des-Fossés,94,,,940680000F0052,,,681,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4736180,48.8136360,0000F
2022-1591574,2022-10-17,1,Vente,612000.00,21,,RUE DE LA VARENNE,9614,94100,94068,Saint-Maur-des-Fossés,94,,,940680000J0051,,,68,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4729090,48.8090830,0000J
2022-1591574,2022-10-17,1,Vente,612000.00,21,,RUE DE LA VARENNE,9614,94100,94068,Saint-Maur-des-Fossés,94,,,940680000J0051,,,12,111.92,34,,,,,,,,2,2,Appartement,105.00,4,,,,,,2.4729090,48.8090830,0000J
2022-1591574,2022-10-17,1,Vente,612000.00,21,,RUE DE LA VARENNE,9614,94100,94068,Saint-Maur-des-Fossés,94,,,940680000J0051,,,12,111.92,34,,,,,,,,2,3,Dépendance,,0,,,,,,2.4729090,48.8090830,0000J
2022-1591580,2022-10-20,1,Vente,14500.00,66,,RUE ELIAS HOWE,3141,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DH0158,,,53,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4820730,48.7931630,000DH
2022-1591593,2022-10-11,1,Vente,730000.00,6,,RUE DU DOCTEUR ROUX,2585,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DZ0172,,,,,,,,,,,,,0,1,Maison,87.00,4,S,sols,,,505.00,2.4915880,48.7932620,000DZ
2022-1591632,2022-09-28,1,Vente,825000.00,42,,QUAI DU PARC,7115,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AF0002,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,410.00,2.4975420,48.8097040,000AF
2022-1591632,2022-09-28,1,Vente,825000.00,42,,QUAI DU PARC,7115,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AF0002,,,,,,,,,,,,,0,1,Maison,76.00,3,S,sols,,,410.00,2.4975420,48.8097040,000AF
2022-1591696,2022-10-11,1,Vente,320000.00,48,,AV DIDEROT,2569,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CP0199,,,16,68.70,5,,54,,,,,,3,4,Local industriel. commercial ou assimilé,70.00,0,,,,,,2.4836590,48.8023320,000CP
2022-1591699,2022-10-10,1,Vente,230200.00,46,,RUE DES COTEAUX,1670,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DJ0006,,,39,,50,,,,,,,,2,2,Appartement,44.00,2,,,,,,2.4737970,48.7911710,000DJ
2022-1591699,2022-10-10,1,Vente,230200.00,46,,RUE DES COTEAUX,1670,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DJ0006,,,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4737970,48.7911710,000DJ
2022-1591699,2022-10-10,1,Vente,230200.00,46,,RUE DES COTEAUX,1670,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DJ0006,,,39,,50,,,,,,,,2,3,Dépendance,,0,,,,,,2.4737970,48.7911710,000DJ
2022-1591717,2022-09-30,1,Vente,295000.00,1,,RUE EUGENE SUE,3192,94100,94068,Saint-Maur-des-Fossés,94,,,94068000EF0157,,,2,52.35,,,,,,,,,1,1,Maison,45.00,2,,,,,,2.4945410,48.7912600,000EF
2022-1591746,2022-10-20,1,Vente,299000.00,5,,LES LOGIS DE LA PIE,A085,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DK0064,,,15,64.91,85,,,,,,,,2,2,Appartement,65.00,3,,,,,,2.4768740,48.7878720,000DK
